Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month
11/09/2017,08:45:00,11/09/2017,14:00:00,Colorado: Weld County;,WECC,System Operations,0,0,2017,November,Cyber event that could potentially impact electric power system adequacy or reliability,
11/13/2017,16:33:00,11/16/2017,06:00:00,Washington: King County;,WECC,Severe Weather,85,68430,2017,November,"Loss of electric service to more than 50,000 customers for 1 hour or more",
11/13/2017,02:00:00,11/15/2017,08:17:00,"Washington: Island County, King County, Kitsap County, Thurston County, Skagit County, Whatcom County;",WECC,Severe Weather,Unknown,236100,2017,November,"Loss of electric service to more than 50,000 customers for 1 hour or more",
11/16/2017,15:05:00,11/16/2017,15:06:00,Oregon: Tillamook County;,WECC,Vandalism,0,0,2017,November,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
11/24/2017,17:06:00,11/26/2017,17:22:00,Nevada: Clark County;,WECC,Vandalism,0,0,2017,November,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
12/04/2017,21:53:00,Unknown,Unknown,California:,WECC,Severe Weather/Transmission Interruption,540,263000,2017,December,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,
12/05/2017,06:30:00,12/06/2017,10:00:00,"Michigan: Oscoda County, Isabella County, Roscommon County, Ogemaw County;",RF,Severe Weather,Unknown,117500,2017,December,"Loss of electric service to more than 50,000 customers for 1 hour or more",
12/05/2017,06:50:00,12/05/2017,09:00:00,Louisiana:,SERC,Vandalism,0,0,2017,December,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
12/07/2017,20:00:00,12/08/2017,17:00:00,Texas: Bexar County;,TRE,Severe Weather,Unknown,88000,2017,December,"Loss of electric service to more than 50,000 customers for 1 hour or more",
12/08/2017,09:30:00,12/08/2017,22:30:00,Louisiana: Mississippi:,SERC,Severe Weather,Unknown,79000,2017,December,"Loss of electric service to more than 50,000 customers for 1 hour or more",
12/08/2017,10:00:00,12/10/2017,20:50:00,Alabama: Georgia: Mississippi:,SERC,Severe Weather,865,301872,2017,December,"Loss of electric service to more than 50,000 customers for 1 hour or more",
