Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month,dt_begin,dt_restore,duration_minutes
10/03/2022,13:45:00,10/03/2022,14:30:00,California: Los Angeles County;,WECC,Vandalism,1,0,2022,October,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-10-03 13:45:00,2022-10-03 14:30:00,45.0
10/13/2022,10:00:00,10/13/2022,11:00:00,California: Los Angeles County;,WECC,Vandalism,1,0,2022,October,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-10-13 10:00:00,2022-10-13 11:00:00,60.0
10/15/2022,09:52:00,10/15/2022,10:23:00,Arizona: Maricopa County;,WECC,System Operations,0,0,2022,October,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,,2022-10-15 09:52:00,2022-10-15 10:23:00,31.0
10/21/2022,11:15:00,10/21/2022,11:18:00,California: Trinity County;,WECC,Suspicious activity,0,0,2022,October,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",,2022-10-21 11:15:00,2022-10-21 11:18:00,3.0
10/24/2022,16:29:00,10/24/2022,18:05:00,Texas: New Mexico: Chaves County;,TRE/WECC,System Operations,34,7551,2022,October,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",,2022-10-24 16:29:00,2022-10-24 18:05:00,96.0
10/28/2022,14:16:00,10/28/2022,15:00:00,California: Los Angeles County;,WECC,Vandalism,2,0,2022,October,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-10-28 14:16:00,2022-10-28 15:00:00,44.0
11/03/2022,12:07:00,11/03/2022,14:24:00,Washington: Douglas County;,WECC,Transmission Interruption,0,0,2022,November,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",,2022-11-03 12:07:00,2022-11-03 14:24:00,137.0
11/04/2022,20:05:00,11/07/2022,09:00:00,"Washington: Island County, King County, Kittitas County, Thurston County, Kitsap County, Pierce County, Skagit County, Whatcom County;",WECC,Severe Weather,Unknown,214000,2022,November,"Loss of electric service to more than 50,000 customers for 1 hour or more",,2022-11-04 20:05:00,2022-11-07 09:00:00,3655.0
11/11/2022,01:00:00,11/11/2022,05:00:00,California: San Bernardino County;,WECC,Vandalism,Unknown,Unknown,2022,November,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-11-11 01:00:00,2022-11-11 05:00:00,240.0
11/15/2022,01:00:00,11/15/2022,06:00:00,Oregon: Josephine County; Washington: Idaho: Utah: Wyoming:,WECC,Vandalism,0,0,2022,November,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-11-15 01:00:00,2022-11-15 06:00:00,300.0
